address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"573-575 STIRLING HWY, COTTESLOE",COM,Non Strata,3795000,2013-11-26,Y,374.334
"573-575 STIRLING HWY, COTTESLOE",COM,Non Strata,3795000,2013-11-26,Y,374.334
"44 NAPIER ST, COTTESLOE",RES,Non Strata,3780000,2022-02-04,N,637
"10 GERALDINE ST, COTTESLOE",RES,Non Strata,3750000,2008-01-21,N,708.144
"1 A EILEEN ST, COTTESLOE",RES,Strata,3750000,2022-10-16,N,208
"170 LITTLE MARINE PDE, COTTESLOE",RES,Non Strata,3750000,2018-12-14,N,465
"176 LITTLE MARINE PDE, COTTESLOE",RES,Non Strata,3750000,2020-09-06,N,445.154
"1 GREENHAM ST, COTTESLOE",RES,Non Strata,3725000,2021-06-27,N,761.315
"15 ROSENDO ST, COTTESLOE",RES,Non Strata,3725000,2011-11-18,N,911
"13 NAPOLEON ST, COTTESLOE",COM,Non Strata,3720000,2021-11-18,N,510.916
"1 B EILEEN ST, COTTESLOE",RES,Strata,3700000,2022-06-16,N,234
"48 MARGARET ST, COTTESLOE",RES,Non Strata,3700000,2011-12-21,N,417.332
"443 STIRLING HWY, COTTESLOE",COM,Non Strata,3700000,2021-01-07,N,2067
"207 BROOME ST, COTTESLOE",RES,Non Strata,3700000,2023-04-14,N,675.319
"5 NAILSWORTH ST, COTTESLOE",RES,Non Strata,3700000,2021-01-25,N,490
"11 KILN LANE, COTTESLOE",RES,Non Strata,3700000,2021-04-29,N,464
"58 NORTH ST, COTTESLOE",RES,Non Strata,3700000,2023-06-03,N,718.317
"252 MARMION ST, COTTESLOE",RES,Non Strata,3670000,2022-11-15,N,607.028
"181 BROOME ST, COTTESLOE",RES,Non Strata,3650000,2022-04-23,N,627
"80 FORREST ST, COTTESLOE",RES,Non Strata,3650000,2022-10-25,N,602
"30 LOMA ST, COTTESLOE",RES,Non Strata,3650000,2019-05-11,N,847
"31 NAPIER ST, COTTESLOE",RES,Non Strata,3650000,2021-08-18,N,662.62
"19 JOHN ST, COTTESLOE",RES,Non Strata,3650000,2015-11-06,N,637
"39 GRANT ST, COTTESLOE",RES,Non Strata,3633500,2020-08-06,N,893
"28 DEANE ST, COTTESLOE",RES,Non Strata,3625000,2009-09-28,N,569.089
"298 MARMION ST, COTTESLOE",RES,Non Strata,3620000,2015-08-23,N,673
"41 GRANT ST, COTTESLOE",RES,Non Strata,3620000,2019-12-11,N,893
"298 MARMION ST, COTTESLOE",RES,Non Strata,3620000,2015-08-23,N,673
"2/21 ERIC ST, COTTESLOE",RES,Strata,3600000,2018-05-08,N,718.26
"11 A FLORENCE ST, COTTESLOE",RES,Strata,3600000,2023-06-02,N,462
"3 A NAPIER ST, COTTESLOE",RES,Non Strata,3600000,2022-02-01,N,301
"2/16 OVERTON GDNS, COTTESLOE",RES,Strata,3600000,2022-03-23,N,1119
"36 OZONE PDE, COTTESLOE",RES,Non Strata,3600000,2011-11-19,N,741.081
"126 RAILWAY ST, COTTESLOE",RES,Vacant,3600000,2020-07-08,N,1476
"23 BOREHAM ST, COTTESLOE",RES,Non Strata,3600000,2022-01-30,N,703
"293 MARMION ST, COTTESLOE",RES,Non Strata,3600000,2022-03-10,N,440
"12 NAILSWORTH ST, COTTESLOE",RES,Non Strata,3600000,2015-06-26,N,571
