"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
2880000,"2021-06-01","House","353 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
855000,"2003-03-20","House","355 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
395000,"1998-02-16","House","52 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
520000,"1999-04-16","House","50 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
1640500,"2009-03-07","House","48 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
3450000,"2022-02-13","House","46 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
375000,"1996-03-11","Empty block","349 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
1150000,"2004-10-12","House","44 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
2750000,"2011-11-12","House","45 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
338000,"1996-02-24","Empty block","47 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
340000,"1995-05-04","Empty block","49 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
2450000,"2020-10-24","House","53 LYONS ST, COTTESLOE","N",771,"COTTESLOE"
255000,"1991-01-22","House","55 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
1605000,"2009-08-29","House","57 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
6102000,"2021-12-05","House","59 LYONS ST, COTTESLOE","N",677.795,"COTTESLOE"
1650000,"2018-01-06","House","58 LYONS ST, COTTESLOE","N",637.329,"COTTESLOE"
640000,"2001-09-29","House","359 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
2000000,"2010-10-29","House","361 MARMION ST, COTTESLOE","N",637,"COTTESLOE"
840000,"2001-02-08","House","362 MARMION ST, COTTESLOE","N",478,"COTTESLOE"
350000,"1999-09-14","House","30 NORTH ST, COTTESLOE","N",513,"COTTESLOE"
2400000,"2018-07-24","House","54 KATHLEEN ST, COTTESLOE","N",513,"COTTESLOE"
3300000,"2021-11-15","House","51 GRIVER ST, COTTESLOE","N",515,"COTTESLOE"
1570000,"2018-12-13","House","34 NORTH ST, COTTESLOE","N",513,"COTTESLOE"
1150000,"2014-10-18","House","56 KATHLEEN ST, COTTESLOE","N",513,"COTTESLOE"
1330000,"2012-04-27","House","53 GRIVER ST, COTTESLOE","N",513,"COTTESLOE"
1550000,"2009-09-16","House","24 NORTH ST, COTTESLOE","N",567,"COTTESLOE"
2900000,"2022-02-21","House","46 GRIVER ST, COTTESLOE","N",961.128,"COTTESLOE"
1800000,"2015-10-15","House","22 NORTH ST, COTTESLOE","N",806.842,"COTTESLOE"
1297000,"2007-06-07","House","50 GRIVER ST, COTTESLOE","N",547,"COTTESLOE"
821000,"2000-12-29","House","48 GRIVER ST, COTTESLOE","N",500,"COTTESLOE"
830000,"2016-10-18","Strata","20 B NORTH ST, COTTESLOE","N",404,"COTTESLOE"
935000,"2014-03-18","Strata","20 A NORTH ST, COTTESLOE","N",403,"COTTESLOE"
615000,"2002-09-10","House","18 NORTH ST, COTTESLOE","N",806.842,"COTTESLOE"
525000,"2001-10-06","House","32 ELIZABETH ST, COTTESLOE","N",769,"COTTESLOE"
134500,"1992-10-22","Strata","14 A NORTH ST, COTTESLOE","N",444,"COTTESLOE"
880000,"2007-01-16","Strata","14 B NORTH ST, COTTESLOE","N",381,"COTTESLOE"
