address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"14 MARGARET ST, COTTESLOE",residential,Non Strata,1500000,2005-02-12,N,490.681
"16 MARGARET ST, COTTESLOE",residential,Non Strata,1100000,2003-06-27,N,490.681
"20 MARGARET ST, COTTESLOE",residential,Non Strata,2060000,2006-01-26,N,490.681
"22 MARGARET ST, COTTESLOE",residential,Non Strata,370000,1993-05-20,N,490.681
"24 MARGARET ST, COTTESLOE",residential,Non Strata,55000,1988-12-16,N,490.681
"26 MARGARET ST, COTTESLOE",residential,Non Strata,815000,1999-07-17,N,490.681
"36 MARGARET ST, COTTESLOE",residential,Non Strata,3875000,2021-12-13,N,424.92
"40 MARGARET ST, COTTESLOE",residential,Non Strata,1580000,2016-04-05,N,341.454
"38 MARGARET ST, COTTESLOE",residential,Non Strata,735000,2002-08-10,N,384.451
"42 MARGARET ST, COTTESLOE",residential,Non Strata,1950000,2008-11-22,N,298.456
"46 MARGARET ST, COTTESLOE",residential,Non Strata,1520000,2017-12-08,N,217.519
"48 MARGARET ST, COTTESLOE",residential,Non Strata,3700000,2011-12-21,N,417.332
"57 MARGARET ST, COTTESLOE",residential,Non Strata,2800000,2023-12-03,N,255.458
"57 MARGARET ST, COTTESLOE",residential,Non Strata,1575000,2017-05-03,N,255.458
"1/36 FORREST ST, COTTESLOE",residential,Strata,2200000,2021-01-22,N,1275
"61 MARGARET ST, COTTESLOE",residential,Non Strata,2000000,2015-07-21,N,424
"4/50 A MARGARET ST, COTTESLOE",residential,Strata,5700000,2022-06-27,N,1130.591
"59 MARGARET ST, COTTESLOE",residential,Non Strata,2040000,2024-03-26,N,212.46
"59 MARGARET ST, COTTESLOE",residential,Non Strata,1740000,2022-02-22,N,212.46
"35 A JOHN ST, COTTESLOE",residential,Non Strata,2750000,2018-11-01,N,316
"35 JOHN ST, COTTESLOE",residential,Non Strata,2738000,2018-04-07,N,321
"39 JOHN ST, COTTESLOE",residential,Non Strata,6000000,2022-10-21,N,632
"2/33 JOHN ST, COTTESLOE",residential,Strata,432000,1998-01-15,N,680
"32 A JOHN ST, COTTESLOE",residential,Non Strata,1550000,2003-05-17,Y,167
"32 JOHN ST, COTTESLOE",residential,Non Strata,1550000,2003-05-17,Y,622
"30 JOHN ST, COTTESLOE",residential,Non Strata,570000,1995-02-23,N,453
"34 JOHN ST, COTTESLOE",residential,Non Strata,3070000,2016-07-01,N,617
"5 GERALDINE ST, COTTESLOE",residential,Non Strata,3450000,2019-07-10,N,708.144
